MAE,MAPE,MSE,RMSE,masked_MAE,masked_MAPE,masked_MSE,masked_RMSE,R2,EVAR
2.423267364501953,0.040939126163721085,13.491141319274902,3.6730289459228516,2.423267364501953,0.040939126163721085,13.491141319274902,3.6730289459228516,0.6016689649874951,0.6017225980758667
3.342379093170166,0.05610606074333191,20.562686920166016,4.534609794616699,3.342379093170166,0.05610606074333191,20.562686920166016,4.534609794616699,0.32289051967134397,0.3230220675468445
3.850473642349243,0.06488699465990067,25.00731658935547,5.000731468200684,3.850473642349243,0.06488699465990067,25.00731658935547,5.000731468200684,0.2001375297800606,0.20030224323272705
4.010018825531006,0.06808064132928848,25.726537704467773,5.072133541107178,4.010018825531006,0.06808064132928848,25.726537704467773,5.072133541107178,0.2089189265390743,0.20899510383605957
4.398344993591309,0.07369265705347061,29.78199577331543,5.4572882652282715,4.398344993591309,0.07369265705347061,29.78199577331543,5.4572882652282715,0.1152149727646633,0.11852401494979858
4.4805145263671875,0.0761864110827446,31.25707244873047,5.5908026695251465,4.4805145263671875,0.0761864110827446,31.25707244873047,5.5908026695251465,0.09205795841783637,0.09218281507492065
4.459311485290527,0.07577842473983765,30.674423217773438,5.538449764251709,4.459311485290527,0.07577842473983765,30.674423217773438,5.538449764251709,0.0647827991603811,0.0666462779045105
4.236913681030273,0.07167131453752518,27.303394317626953,5.225265026092529,4.236913681030273,0.07167131453752518,27.303394317626953,5.225265026092529,0.12007546307099815,0.12059932947158813
4.470121383666992,0.0750575140118599,30.70612907409668,5.541311264038086,4.470121383666992,0.0750575140118599,30.70612907409668,5.541311264038086,0.06843385276857405,0.07012450695037842
4.283735275268555,0.07244359701871872,28.987035751342773,5.383961200714111,4.283735275268555,0.07244359701871872,28.987035751342773,5.383961200714111,0.1426187819269501,0.14396101236343384
4.013797760009766,0.06803742051124573,26.03234100341797,5.102190017700195,4.013797760009766,0.06803742051124573,26.03234100341797,5.102190017700195,0.18913160944747742,0.1891385316848755
3.9182329177856445,0.06733379513025284,25.769351959228516,5.076352119445801,3.9182329177856445,0.06733379513025284,25.769351959228516,5.076352119445801,0.1590709928506282,0.1637197732925415
